uuid,code_menage,nom_chef,commune,date_enquete,enqueteur,satisfaction,delai_reception_jours,montant_recu_htg,utilisation_principale,connait_mecanisme_plainte,score_fcs,score_rcsi,telephone,gps_latitude,gps_longitude,duree_entretien_min
uuid:000380-acted,MEN-00971,Alexis,Port-au-Prince,2025-11-06,ENQ04 Wisly Dorvil,4,21,6000,Agriculture,oui,38.0,16,+50934016616,19.3943,-73.25244,36
uuid:000184-acted,MEN-00977,Lafleur,Mirebalais,2026-02-16,ENQ05 Nadege Augustin,3,4,7500,Dette,oui,19.4,14,+50938798376,18.80143,-72.72172,18
uuid:000070-acted,MEN-00080,Jean-Baptiste,Cap-Haitien,2026-01-09,ENQ01 Mirlande Delva,4,16,7500,Nourriture,non,50.7,2,+50942521532,18.56721,-72.5201,27
uuid:000269-acted,MEN-00187,Lafleur,SAINT MARC,2026-01-11,ENQ04 Wisly Dorvil,4,15,7500,Education,non,45.3,13,+50947439392,18.8484,-74.01425,26
uuid:000303-acted,MEN-00339,Desir,Leogane,2026-03-21,ENQ01 Mirlande Delva,4,10,9000,Nourriture,oui,56.2,16,+50933571508,18.65681,-73.04705,23
uuid:000097-acted,MEN-00006,Noel,Gonaïves,10/01/2026,ENQ01 Mirlande Delva,4,9,9000,Education,non,37.5,12,+50946215511,19.64143,-72.31987,23
uuid:000469-acted,MEN-00959,Jean-Baptiste,Cap-Haitien,2026-02-14,ENQ03 Fabiola Cheri,3,5,7500,Nourriture,non,26.4,26,+50933349820,18.95652,-73.1685,32
uuid:000037-acted-bis,MEN-00380,Desir,Cap-Haitien,2025-09-03,ENQ02 Kervens Sanon,3,9,9000,Nourriture,oui,33.4,10,+50947288383,19.452,-73.19369,34
uuid:000204-acted-bis,MEN-00500,Lafleur,Mirebalais,2025-11-12,ENQ03 Fabiola Cheri,4,11,6000,Logement,non,79.9,9,+50944500804,18.53862,-72.21525,22
uuid:000429-acted,MEN-00419,Sanon,Verrettes,03-14-2026,ENQ03 Fabiola Cheri,5,28,6000,Nourriture,oui,36.3,1,+50930401535,18.53994,-72.00057,32
uuid:000153-acted,MEN-00514,Georges,Port-au-Prince,2025-09-18,ENQ02 Kervens Sanon,4,2,6000,Education,oui,39.0,6,+50935216522,19.57103,-74.18647,23
uuid:000015-acted,MEN-00310,Joseph,Gros-Morne,2025-09-30,ENQ01 Mirlande Delva,4,11,9 000,Education,non,,23,+50936113764,18.73068,-73.80393,21
uuid:000405-acted,MEN-00963,Desir,Saint-Marc,2025-10-15,ENQ01 Mirlande Delva,4,9,12000,Nourriture,oui,41.7,19,+50934027194,19.3838,-73.88934,13
uuid:000275-acted,MEN-00837,Moise,SAINT MARC,2025-09-10,ENQ04 Wisly Dorvil,4,14,6000,Nourriture,oui,33.6,43,+50937045717,19.22537,-74.00759,37
uuid:000207-acted,MEN-00454,Duverger,Leogane,2025-10-29,ENQ03 Fabiola Cheri,N/A,7,"9,000",Nourriture,oui,24.7,16,+50933961365,19.63848,-72.9537,22
uuid:000094-acted,MEN-00078,Moise,Port-au-Prince,2026-01-21,ENQ04 Wisly Dorvil,5,13,6000,Nourriture,oui,40.1,27,+50933838187,19.56606,-73.80357,34
uuid:000169-acted-bis,MEN-00170,Lherisson,Gros-Morne,2025-09-23,ENQ03 Fabiola Cheri,4,7,6000,Agriculture,non,22.9,0,+50944516734,19.49765,-73.84127,6
uuid:000010-acted,MEN-01182,Estime,Verrettes,2025-10-19,ENQ03 Fabiola Cheri,ND,0,12000,Nourriture,non,40.4,26,+50943213021,18.79696,-72.42881,35
uuid:000461-acted,MEN-00588,Cheri,Mirebalais,2025-10-10,ENQ05 Nadege Augustin,1,17,6000,Nourriture,oui,46.6,25,+50932182988,18.78646,-72.91694,21
uuid:000167-acted,MEN-00988,Lafleur,Verrettes,2025-11-14,ENQ06 Josue Belizaire,3,21,3250,Nourriture,oui,22.4,16,+50933213059,19.66908,-72.16234,29
uuid:000476-acted,MEN-00759,Casseus,Port-au-Prince,2025-11-09,ENQ06 Josue Belizaire,5,11,4000,Dette,non,30.7,6,+50932316379,19.05831,-74.02215,28
uuid:000208-acted,MEN-00289,Augustin,Cap-Haitien,2025-10-06,ENQ03 Fabiola Cheri,4,1,7500,Education,oui,21.2,5,+50933056086,19.03436,-72.24649,37
uuid:000306-acted,MEN-00916,Delva,Croix-des-Bouquets,2025-12-10,ENQ02 Kervens Sanon,3,0,12000,Nourriture,oui,19.4,29,+50939741987,19.13628,-73.94044,24
uuid:000443-acted,MEN-00114,Saint-Fleur,Verrettes,10/09/2025,ENQ05 Nadege Augustin,3,11,6000,Sante,oui,29.9,0,+50930634056,18.5115,-73.40968,36
uuid:000131-acted,MEN-00952,Louis,Port-au-Prince,2025-09-11,ENQ05 Nadege Augustin,1,12,12000,Nourriture,non,43.4,25,+50936104846,19.14568,-73.97385,13
uuid:000385-acted,MEN-00009,Joseph,Mirebalais,2025-12-13,ENQ03 Fabiola Cheri,4,8,-,Nourriture,oui,22.9,20,+50938915434,19.33402,-73.06018,2
uuid:000392-acted,MEN-00160,Dorvil,Gros-Morne,2025-10-23,ENQ02 Kervens Sanon,4,3,7500,Sante,oui,24.9,8,+50946517942,18.55602,-72.7722,41
uuid:000185-acted,MEN-00392,Casseus,Cap-Haitien,2026-01-27,ENQ01 Mirlande Delva,4,13,6000,Nourriture,oui,29.7,12,+50940841754,19.68643,-73.31227,19
uuid:000464-acted,MEN-01156,Augustin,Leogane,2026-03-30,ENQ03 Fabiola Cheri,4,2,4000,Agriculture,non,31.3,13,+50933156206,18.87537,-73.91001,31
uuid:000130-acted,MEN-00328,Moise,st marc,2025-10-25,ENQ01 Mirlande Delva,5,4,12000,Education,oui,54.3,24,+50937344960,19.68254,-73.59619,39
uuid:000326-acted,MEN-00371,Toussaint,Leogane,2026-03-14,ENQ01 Mirlande Delva,4,5,9000,Nourriture,non,59.3,11,+50935454501,19.59764,-72.5654,7
uuid:000502-acted,MEN-00240,Belizaire,Leogane,2025-09-03,ENQ01 Mirlande Delva,5,0,9000,Nourriture,non,37.5,13,+50930850058,18.7459,-72.39965,44
uuid:000117-acted,MEN-00861,Noel,Port-au-Prince,2026-01-14,ENQ05 Nadege Augustin,4,10,6000,Nourriture,non,41.3,5,+50934462462,18.78705,-73.64162,9
uuid:000347-acted,MEN-00638,Sanon,Port-au-Prince,2026-01-30,ENQ04 Wisly Dorvil,3,12,7500,Sante,non,39.0,7,+50939780989,19.30121,-72.25551,18
uuid:000473-acted,MEN-00975,Joseph,Mirebalais,2025-09-17,ENQ02 Kervens Sanon,5,7,6000,Nourriture,oui,39.0,24,+50946829949,18.91758,-72.71049,16
uuid:000304-acted,MEN-00445,Pierre,DESSALINES,2026-01-18,ENQ02 Kervens Sanon,4,4,6000,Education,oui,36.1,12,+50935699020,18.43083,-73.07356,45
uuid:000002-acted,MEN-00714,Joseph,Mirebalais,2025-10-02,ENQ03 Fabiola Cheri,3,16,12000,Nourriture,non,21.0,14,+50935826204,19.46256,-73.83867,35
uuid:000027-acted,MEN-00352,Moise,Leogane,2025-11-24,ENQ05 Nadege Augustin,3,13,5250,Education,oui,49.3,14,+50939733075,19.09036,-72.56893,26
uuid:000085-acted,MEN-00172,Cadet,Gros-Morne,2025-12-30,ENQ01 Mirlande Delva,4,8,7500,Sante,non,31.9,13,+50939562807,19.48091,-73.27631,22
uuid:000058-acted,MEN-01123,Georges,Gros-Morne,2025-11-12,ENQ06 Josue Belizaire,4,6,12000,Nourriture,non,46.1,3,+50945235408,18.96717,-73.14352,23
uuid:000317-acted,MEN-01153,Cheri,Cap-Haitien,2026-02-17,ENQ05 Nadege Augustin,1,3,7500,Autre,oui,52.9,19,+50943657634,18.51547,-72.42125,23
uuid:000092-acted,MEN-00237,Jean-Baptiste,Verrettes,2025-12-14,ENQ03 Fabiola Cheri,2,2,9000,Education,oui,43.3,8,+50944225629,18.9528,-73.84886,38
uuid:000266-acted,MEN-00242,Moise,Cap-Haitien,2025-11-04,ENQ06 Josue Belizaire,5,11,7500,Logement,oui,42.7,0,+50943726824,18.82315,-73.60973,35
uuid:000203-acted-bis,MEN-00870,Michel,Leogane,2026-01-03,ENQ01 Mirlande Delva,5,2,6000,Education,non,49.1,18,+50939257063,18.41537,-73.01728,26
uuid:000412-acted,MEN-01147,Casseus,DESSALINES,2026-01-27,ENQ02 Kervens Sanon,N/A,5,9000,Nourriture,non,54.0,10,+50934038991,18.89931,-73.49279,32
uuid:000542-acted,MEN-01085,Lherisson,Cap-Haitien,11-30-2025,ENQ04 Wisly Dorvil,3,2,12000,Sante,oui,21.5,15,+50944962084,18.73062,-73.88621,22
uuid:000054-acted,MEN-00570,Estime,Gonaïves,2025-12-29,ENQ05 Nadege Augustin,4,7,9000,Nourriture,oui,26.9,13,+50930210246,19.53541,-72.76663,32
uuid:000378-acted,MEN-00063,Saint-Fleur,Mirebalais,14/12/2025,ENQ04 Wisly Dorvil,5,7,12000,Nourriture,oui,40.7,18,+50931290574,19.16178,-73.59264,43
uuid:000220-acted,MEN-00674,Beauvoir,Saint-Marc,2025-09-16,ENQ02 Kervens Sanon,4,7,6000,Sante,non,19.1,16,+50939713002,,,17
uuid:000253-acted,MEN-00234,Beauvoir,Mirebalais,2025-11-09,ENQ02 Kervens Sanon,4,14,6000,Nourriture,non,42.3,29,+50932050864,19.59948,-72.81791,21
uuid:000178-acted,MEN-01140,Delva,Gros-Morne,2025-09-06,ENQ02 Kervens Sanon,2,6,9000,Nourriture,non,30.5,24,+50941205515,18.70965,-72.89689,38
uuid:000323-acted,MEN-00826,Beauvoir,Cap-Haitien,02-22-2026,ENQ04 Wisly Dorvil,4,18,9000,Nourriture,non,35.1,3,+50944903087,,,0
uuid:000026-acted,MEN-00451,Moise,Verrettes,09-12-2025,ENQ06 Josue Belizaire,4,0,9000,Education,oui,20.7,14,+50936026923,18.69085,-72.96359,21
uuid:000463-acted,MEN-00676,Lafleur,Cap-Haitien,2026-02-19,ENQ06 Josue Belizaire,N/A,13,12000,Dette,oui,45.2,25,+50944553953,19.32792,-73.63252,35
uuid:000298-acted,MEN-00025,Jean-Baptiste,St-Marc,2025-09-22,ENQ04 Wisly Dorvil,3,5,7500,Nourriture,non,42.3,20,n/a,18.68318,-72.55924,40
uuid:000526-acted,MEN-00586,Etienne,Verrettes,2025-12-19,ENQ05 Nadege Augustin,5,11,9000,Agriculture,oui,36.4,18,+50942494376,19.11647,-73.91572,22
uuid:000352-acted,MEN-01170,Moise,Leogane,2026-03-06,ENQ01 Mirlande Delva,3,8,9000,Dette,non,15.3,25,n/a,19.41502,-73.72311,28
uuid:000382-acted,MEN-00398,Desir,Croix-des-Bouquets,2026-02-09,ENQ03 Fabiola Cheri,3,9,7500,Education,oui,39.6,8,+50945960456,18.94413,-73.23645,38
uuid:000258-acted,MEN-01006,Belizaire,DESSALINES,2026-01-24,ENQ06 Josue Belizaire,5,14,12000,Nourriture,oui,27.8,24,+50946063951,19.33367,-73.49519,27
uuid:000520-acted,MEN-00853,Estime,Gros-Morne,19/02/2026,ENQ01 Mirlande Delva,4,14,6000,Nourriture,oui,12.5,15,+50933862924,18.52089,-72.10448,41
uuid:000017-acted,MEN-00228,Noel,Leogane,2025-11-19,ENQ01 Mirlande Delva,4,13,12000,Nourriture,oui,28.9,19,+50935938766,18.75989,-73.54882,28
uuid:000422-acted,MEN-01043,Michel,Leogane,2026-03-09,ENQ06 Josue Belizaire,4,3,7500,Nourriture,non,55.5,20,+50949335279,19.62517,-72.98775,29
uuid:000516-acted,MEN-00902,Jean-Baptiste,Mirebalais,2026-01-29,ENQ02 Kervens Sanon,2,3,4500,Dette,non,25.7,7,+50942106419,18.57888,-73.35897,32
uuid:000321-acted,MEN-01176,Delva,Mirebalais,2025-09-30,ENQ06 Josue Belizaire,2,9,12000,Dette,non,42.0,17,+50934182082,18.92257,-72.55785,31
uuid:000414-acted,MEN-01072,Estime,Port-au-Prince,01-03-2026,ENQ02 Kervens Sanon,3,11,12000,Nourriture,oui,40.5,0,+50945729095,,,35
uuid:000261-acted,MEN-00724,Noel,Dessaline,12/10/2025,ENQ03 Fabiola Cheri,4,14,7500,Nourriture,oui,49.5,11,+50932994779,18.74458,-73.30605,27
uuid:000110-acted,MEN-00400,Beauvoir,Saint-Marc,21/12/2025,ENQ03 Fabiola Cheri,4,0,6000,Logement,oui,46.2,23,+50940816495,,,34
uuid:000497-acted,MEN-00420,Noel,Dessaline,2025-11-08,ENQ04 Wisly Dorvil,4,13,5000,Nourriture,oui,19.4,4,+50931189685,18.56148,-73.17622,21
uuid:000521-acted,MEN-00011,Duverger,Croix-des-Bouquets,02-22-2026,ENQ05 Nadege Augustin,4,8,12000,Dette,non,40.4,22,+50933660937,18.57162,-72.47753,31
uuid:000376-acted,MEN-01149,Augustin,Mirebalais,2025-09-18,ENQ02 Kervens Sanon,5,9,12000,Agriculture,oui,39.0,16,+50932552759,18.83723,-74.0933,11
uuid:000104-acted,MEN-00120,Dorvil,St-Marc,2025-12-01,ENQ02 Kervens Sanon,5,15,6000,Sante,oui,35.8,36,+50946699300,19.69163,-73.20417,36
uuid:000533-acted,MEN-00868,Saint-Fleur,Gonaïves,2025-09-16,ENQ06 Josue Belizaire,4,8,9000,Nourriture,non,28.6,21,+50942212388,18.74934,-72.11608,7
uuid:000246-acted,MEN-00223,Cheri,Port-au-Prince,2026-03-17,ENQ01 Mirlande Delva,4,1,12000,Nourriture,non,23.6,21,+50941583381,18.85515,-72.40398,21
uuid:000453-acted,MEN-00590,Georges,Gros-Morne,2025-10-11,ENQ05 Nadege Augustin,3,16,4250,Nourriture,oui,36.3,2,+50932437128,,,16
uuid:000421-acted,MEN-00088,Lherisson,Cap-Haitien,2025-11-09,ENQ05 Nadege Augustin,1,4,9000,Nourriture,oui,43.8,16,+50939884246,19.57933,-73.10103,26
uuid:000418-acted,MEN-00830,Michel,Leogane,2025-11-08,ENQ04 Wisly Dorvil,4,13,6000,Sante,oui,44.5,15,+50939115727,19.78287,-73.00769,41
uuid:000102-acted,MEN-00012,Casseus,Mirebalais,2025-12-02,ENQ04 Wisly Dorvil,4,7,9000,Education,non,35.6,21,+50938450833,19.50832,-73.94383,26
uuid:000481-acted,MEN-01035,Moise,Verrettes,2026-02-19,ENQ02 Kervens Sanon,5,6,7500,Logement,oui,15.4,27,+50947167468,19.22749,-72.94,30
uuid:000281-acted,MEN-00167,Michel,Croix-des-Bouquets,2026-02-05,ENQ01 Mirlande Delva,3,11,9000,Nourriture,non,29.3,8,+50948058797,18.60809,-73.82556,35
uuid:000399-acted,MEN-01124,Michel,Leogane,2025-09-20,ENQ06 Josue Belizaire,3,13,7500,Sante,oui,58.6,19,+50942396558,18.83662,-72.16648,35
uuid:000039-acted,MEN-00932,Pierre,Verrettes,2025-11-22,ENQ01 Mirlande Delva,4,0,6000,Nourriture,oui,42.7,14,+50934743762,18.5069,-74.17898,33
uuid:000390-acted,MEN-00742,Charles,Gros-Morne,26/02/2026,ENQ02 Kervens Sanon,1,14,12000,Nourriture,oui,38.0,24,+50948900451,19.68713,-72.84132,38
uuid:000169-acted,MEN-00170,Lherisson,Gros-Morne,2025-09-23,ENQ03 Fabiola Cheri,4,7,6000,Agriculture,non,22.9,0,+50944516734,19.49765,-73.84127,6
uuid:000442-acted,MEN-00109,Belizaire,Gros-Morne,2026-02-02,ENQ02 Kervens Sanon,3,12,7500,Logement,oui,25.9,26,+50932974416,18.81671,-73.21834,24
uuid:000213-acted,MEN-00300,Cheri,Port-au-Prince,2025-09-25,ENQ05 Nadege Augustin,2,8,5500,Logement,oui,37.5,22,+50945561096,18.40279,-73.85606,38
uuid:000194-acted,MEN-00715,Augustin,Dessaline,2025-11-03,ENQ02 Kervens Sanon,4,12,6000,Nourriture,oui,60.3,20,+50938530150,,,23
uuid:000033-acted-bis,MEN-00592,Louis,Gonaïves,2025-11-16,ENQ04 Wisly Dorvil,4,9,9000,Sante,oui,48.6,0,+50949078651,18.44051,-73.22254,45
uuid:000252-acted,MEN-00156,Sanon,Saint-Marc,2026-02-09,ENQ02 Kervens Sanon,4,7,12000,Dette,non,38.0,7,+50944891523,18.61983,-72.3273,23
uuid:000140-acted,MEN-00892,Desir,Croix-des-Bouquets,2025-12-12,ENQ06 Josue Belizaire,4,13,9000,Dette,oui,5.4,11,+50945733877,18.60076,-72.98954,29
uuid:000283-acted,MEN-01094,Etienne,DESSALINES,2025-12-03,ENQ03 Fabiola Cheri,4,11,7500,Agriculture,non,35.1,26,+50938440571,18.49642,-72.575,28
uuid:000465-acted,MEN-00663,Etienne,Gros-Morne,2025-12-01,ENQ04 Wisly Dorvil,5,8,7750,Nourriture,oui,42.1,18,+50933324697,19.31274,-73.42482,29
uuid:000331-acted,MEN-00534,Pierre,Mirebalais,2025-09-27,ENQ06 Josue Belizaire,4,6,9000,Nourriture,oui,51.0,6,3712-4498,18.99263,-72.85197,26
uuid:000308-acted,MEN-00335,Fils-Aime,Gros-Morne,2025-12-04,ENQ02 Kervens Sanon,3,1,9000,Nourriture,non,53.2,24,+50932221931,18.76827,-72.27576,19
uuid:000145-acted,MEN-01044,Saint-Fleur,Port-au-Prince,2025-10-16,ENQ01 Mirlande Delva,4,6,7500,Agriculture,oui,22.9,22,+50946657104,18.76584,-73.72059,21
uuid:000192-acted,MEN-00693,Charles,Gros-Morne,2025-12-18,ENQ04 Wisly Dorvil,4,0,12000,Nourriture,non,46.0,22,+50939039922,19.54028,-74.1429,28
uuid:000535-acted,MEN-00140,Fils-Aime,Cap-Haitien,2025-10-08,ENQ02 Kervens Sanon,2,8,12000,Nourriture,oui,39.2,4,+50942282774,18.95305,-72.27938,27
uuid:000230-acted,MEN-01055,Sanon,Leogane,2026-01-19,ENQ02 Kervens Sanon,3,5,7500,Education,non,14.0,18,+50935352552,18.56469,-72.39175,18
uuid:000358-acted,MEN-00735,Estime,Gros-Morne,2026-01-02,ENQ05 Nadege Augustin,4,0,6000,Nourriture,non,33.7,17,+50930792573,19.32036,-73.01124,14
uuid:000181-acted,MEN-01101,Lherisson,Mirebalais,2026-02-24,ENQ01 Mirlande Delva,3,16,7500,Nourriture,oui,21.8,17,+50948845647,18.89554,-72.7327,33
uuid:000492-acted,MEN-00266,Beauvoir,Gros-Morne,2026-01-18,ENQ01 Mirlande Delva,3,15,12000,Nourriture,oui,,13,+50935008662,19.48456,-73.91288,43
uuid:000174-acted,MEN-00954,Duverger,Gonaives,2025-10-16,ENQ01 Mirlande Delva,4,15,9000,Dette,non,22.1,25,+50943505331,18.42918,-73.85444,13
uuid:000072-acted,MEN-00531,Cadet,gonaives,2025-10-29,ENQ06 Josue Belizaire,4,10,6000,Nourriture,non,38.6,31,+50943961486,18.6913,-72.53791,21
uuid:000501-acted,MEN-00154,Cadet,Gonaive,06/03/2026,ENQ03 Fabiola Cheri,3,14,9000,Sante,oui,15.3,27,+50930854859,19.08115,-73.12337,17
uuid:000434-acted,MEN-00018,Noel,Mirebalais,2026-02-19,ENQ04 Wisly Dorvil,4,0,7500,Sante,oui,57.6,18,+50948397350,19.27033,-72.16148,25
uuid:000190-acted,MEN-00637,Louis,Dessalines,2025-11-15,ENQ04 Wisly Dorvil,2,5,7500,Nourriture,non,27.8,25,+50944153136,19.38835,-72.56395,21
uuid:000143-acted,MEN-00094,Dorvil,Gonaives,2026-02-13,ENQ06 Josue Belizaire,2,11,6000,Nourriture,oui,35.0,12,+50931177517,18.43657,-73.36716,37
uuid:000118-acted,MEN-00066,Casseus,Gonaives,2026-03-21,ENQ04 Wisly Dorvil,5,10,8750,Nourriture,oui,42.9,19,50937,,,41
uuid:000470-acted,MEN-01143,Fils-Aime,Cap-Haitien,2026-02-07,ENQ03 Fabiola Cheri,5,10,6000,Nourriture,oui,29.0,8,+50941992412,19.79467,-73.88763,41
uuid:000209-acted,MEN-00219,Louis,Port-au-Prince,2026-02-08,ENQ06 Josue Belizaire,2,2,6000,Nourriture,oui,60.2,19,+50945566261,19.46862,-73.64476,40
uuid:000064-acted,MEN-00656,Pierre,Verrettes,2026-02-16,ENQ03 Fabiola Cheri,3,13,6000,Nourriture,non,41.7,21,3712-4498,19.23696,-72.59547,39
uuid:000504-acted,MEN-01168,Michel,Dessalines,2026-03-21,ENQ03 Fabiola Cheri,4,0,7500,Agriculture,non,20.7,12,+50938333453,19.79373,-73.56666,30
uuid:000292-acted,MEN-00788,Lherisson,GONAIVES,2026-03-05,ENQ02 Kervens Sanon,5,4,12000,Nourriture,oui,29.6,17,+50941961873,19.78196,-72.10271,30
uuid:000236-acted,MEN-00178,Estime,St-Marc,2025-09-03,ENQ03 Fabiola Cheri,5,10,7500,Nourriture,oui,31.4,22,+50946621559,19.44778,-72.91629,46
uuid:000217-acted,MEN-01209,Cheri,Verrettes,2025-10-28,ENQ05 Nadege Augustin,4,7,7500,Dette,oui,31.9,20,+50940836183,18.72587,-73.05385,40
uuid:000508-acted,MEN-00893,Michel,Mirebalais,2025-09-27,ENQ02 Kervens Sanon,2,16,,Sante,oui,40.2,7,+50931042857,18.54455,-72.48304,25
uuid:000525-acted,MEN-00194,Etienne,St-Marc,30/03/2026,ENQ02 Kervens Sanon,4,0,12000,Agriculture,oui,34.6,22,+50942435357,19.70165,-72.2947,24
uuid:000365-acted,MEN-00639,Jean-Baptiste,Leogane,17/12/2025,ENQ01 Mirlande Delva,3,3,12000,Sante,oui,45.6,10,+50935661541,18.82467,-72.65827,24
uuid:000410-acted,MEN-01197,Joseph,Croix-des-Bouquets,2025-12-06,ENQ04 Wisly Dorvil,5,13,12000,Dette,oui,29.0,19,+50942935562,19.71011,-74.0506,28
uuid:000484-acted,MEN-00387,Delva,Croix-des-Bouquets,2025-09-21,ENQ04 Wisly Dorvil,4,10,6000,Agriculture,oui,20.1,8,+50945875270,18.93744,-72.40601,48
uuid:000107-acted,MEN-00790,Noel,Cap-Haitien,2026-02-06,ENQ04 Wisly Dorvil,4,13,6000,Dette,non,39.7,15,+50931577006,19.66023,-73.89369,54
uuid:000475-acted,MEN-00450,Saint-Fleur,Cap-Haitien,2026-03-12,ENQ04 Wisly Dorvil,4,7,12000,Nourriture,oui,38.5,18,+50941985418,18.44671,-74.15991,22
uuid:000170-acted,MEN-00318,Dorvil,Gonaive,2026-02-11,ENQ06 Josue Belizaire,4,6,6000,Nourriture,oui,38.9,7,+50931710511,18.92556,-73.36675,41
uuid:000120-acted,MEN-00700,Belizaire,Mirebalais,2025-12-23,ENQ02 Kervens Sanon,3,12,6000,Logement,non,40.2,16,+50948393636,18.74016,-72.1144,28
uuid:000537-acted,MEN-00188,Fils-Aime,Verrettes,2025-12-08,ENQ04 Wisly Dorvil,4,11,6000,Nourriture,oui,39.0,11,n/a,19.315,-73.4115,9
uuid:000559-acted,MEN-00055,Casseus,SAINT MARC,2025-12-28,ENQ06 Josue Belizaire,2,8,9000,Nourriture,non,34.7,7,+50934389574,,,51
uuid:000545-acted,MEN-00258,Sanon,Leogane,2026-03-09,ENQ06 Josue Belizaire,4,0,12000,Nourriture,oui,11.9,20,+50942125255,19.3575,-73.47385,23
uuid:000034-acted,MEN-00886,Augustin,Leogane,03-14-2026,ENQ03 Fabiola Cheri,4,10,12000,Nourriture,oui,46.1,16,+50948646448,,,2
uuid:000563-acted,MEN-00038,Saint-Fleur,Leogane,2026-03-24,ENQ06 Josue Belizaire,4,12,6000,Nourriture,oui,59.1,25,+50936551662,19.71611,-73.49901,26
uuid:000044-acted,MEN-01032,Saint-Fleur,Verrettes,2025-12-28,ENQ02 Kervens Sanon,3,7,7500,Nourriture,non,37.4,19,+50945187504,19.05077,-73.57416,38
uuid:000135-acted,MEN-00967,Estime,Cap-Haitien,2025-09-11,ENQ04 Wisly Dorvil,4,3,12000,Education,oui,48.8,18,+50946419590,19.24749,-72.86959,27
uuid:000341-acted,MEN-00220,Moise,Leogane,2026-01-11,ENQ05 Nadege Augustin,4,8,12000,Nourriture,non,44.0,26,+50932462656,19.24199,-72.07363,45
uuid:000408-acted,MEN-00162,Georges,Gros-Morne,2026-01-29,ENQ03 Fabiola Cheri,3,14,7500,Nourriture,non,19.0,19,+50941411404,,,39
uuid:000534-acted,MEN-00330,Etienne,Cap-Haitien,2025-10-26,ENQ02 Kervens Sanon,5,9,12000,Nourriture,non,35.5,24,+50943982681,,,39
uuid:000033-acted,MEN-00592,Louis,Gonaïves,2025-11-16,ENQ04 Wisly Dorvil,4,9,9000,Sante,oui,48.6,0,+50949078651,18.44051,-73.22254,45
uuid:000300-acted,MEN-00061,Michel,Croix-des-Bouquets,2026-01-19,ENQ06 Josue Belizaire,4,6,8000,Nourriture,non,50.0,10,+50937237782,,,31
uuid:000353-acted,MEN-00787,Michel,DESSALINES,2025-10-20,ENQ03 Fabiola Cheri,1,8,9000,Nourriture,oui,44.8,13,+50945996336,18.92268,-72.06192,27
uuid:000148-acted,MEN-01186,Duverger,Cap-Haitien,2026-03-26,ENQ01 Mirlande Delva,,10,5250,Nourriture,non,46.2,22,+50938483746,19.11952,-72.55318,19
uuid:000049-acted,MEN-00169,Michel,Mirebalais,2026-01-02,ENQ02 Kervens Sanon,3,5,9000,Nourriture,oui,43.9,27,+50940321614,19.11321,-73.75497,18
uuid:000242-acted,MEN-00805,Louis,Port-au-Prince,2025-09-27,ENQ01 Mirlande Delva,4,7,7500,Nourriture,non,34.8,1,+50935570492,19.43401,-72.46413,19
uuid:000071-acted,MEN-00314,Fils-Aime,gonaives,2026-01-24,ENQ01 Mirlande Delva,3,3,7500,Nourriture,oui,35.3,7,+50939121739,19.26941,-73.80129,19
uuid:000416-acted,MEN-00393,Etienne,Mirebalais,2025-11-03,ENQ03 Fabiola Cheri,tres satisfait,7,12000,Nourriture,non,27.5,9,+50937498690,19.70651,-73.29408,19
uuid:000548-acted,MEN-01102,Etienne,St-Marc,2025-12-05,ENQ05 Nadege Augustin,5,4,9000,Nourriture,oui,48.4,9,+50941964111,18.48891,-73.73156,25
uuid:000552-acted,MEN-00179,Augustin,Gros-Morne,2025-11-22,ENQ05 Nadege Augustin,3,0,9000,Nourriture,oui,22.9,21,+50932678749,18.70993,-73.74653,17
uuid:000222-acted,MEN-00483,Fils-Aime,Cap-Haitien,15/11/2025,ENQ01 Mirlande Delva,tres satisfait,8,4750,Sante,non,40.2,15,+50942777374,,,6
uuid:000411-acted,MEN-00478,Louis,Mirebalais,2025-09-21,ENQ02 Kervens Sanon,4,16,6000,Sante,non,29.6,13,+50949770417,18.44914,-72.20956,37
uuid:000391-acted,MEN-00333,Lafleur,Leogane,2026-03-05,ENQ02 Kervens Sanon,5,3,7500,Nourriture,oui,28.3,21,+50934085450,19.04598,-72.07978,40
uuid:000413-acted,MEN-00403,Cheri,Gonaives,2025-10-24,ENQ01 Mirlande Delva,4,7,6000,Agriculture,oui,34.5,0,+50948935036,19.50952,-73.80865,34
uuid:000299-acted,MEN-00182,Georges,Verrettes,2025-12-23,ENQ01 Mirlande Delva,5,3,6000,Nourriture,oui,41.9,13,+50934536398,19.74881,-73.74604,18
uuid:000004-acted,MEN-00106,Alexis,Croix-des-Bouquets,2026-03-08,ENQ06 Josue Belizaire,2,9,6000,Sante,oui,49.2,25,+50948278796,18.8516,-73.03712,19
uuid:000402-acted,MEN-00127,Michel,Leogane,2025-12-05,ENQ02 Kervens Sanon,2,2,7500,Dette,oui,62.4,33,+509 37 12 44 98,18.97928,-74.18462,27
uuid:000059-acted,MEN-00345,Belizaire,Gros-Morne,2025-09-04,ENQ06 Josue Belizaire,3,1,6000,Nourriture,non,19.7,19,+50932914131,19.38845,-73.83569,7
uuid:000479-acted,MEN-00610,Belizaire,Port-au-Prince,2025-11-29,ENQ03 Fabiola Cheri,4,8,6000,Dette,oui,41.7,5,+50937679774,18.46271,-72.50136,35
